type,file,measure,value
ocel,BPIC14,load (Time),24.863089561462402
ocel,BPIC14,number of logs,1
ocel,BPIC14,number of logs (Time),0.0
ocel,BPIC14,number of events,690622
ocel,BPIC14,number of events (Time),0.0
ocel,BPIC14,number of activities,330
ocel,BPIC14,number of activities (Time),0.15832304954528809
ocel,BPIC14,number of observed,690622
ocel,BPIC14,number of observed (Time),0.19622421264648438
ocel,BPIC14,number of objects,228885
ocel,BPIC14,number of objects (Time),0.0
ocel,BPIC14,number of df,2503328
ocel,BPIC14,number of df (Time),124.12432193756104
ocel,BPIC14,number of corr,2732213
ocel,BPIC14,number of corr (Time),0.0
ocel,BPIC14,filter on event time (Time),0.7298135757446289
ocel,BPIC14,filter on object types (Time),0.09973645210266113
ocel,BPIC14,filter on object types and time (Time),0.1255810260772705
ocel,BPIC14,filter on objects (Time),0.10321974754333496
ocel,BPIC14,filter on objects and time (Time),0.12707304954528809
ocel,BPIC15 (1),load (Time),1.9115490913391113
ocel,BPIC15 (1),number of logs,1
ocel,BPIC15 (1),number of logs (Time),0.0
ocel,BPIC15 (1),number of events,52217
ocel,BPIC15 (1),number of events (Time),0.0
ocel,BPIC15 (1),number of activities,289
ocel,BPIC15 (1),number of activities (Time),0.009919166564941406
ocel,BPIC15 (1),number of observed,52217
ocel,BPIC15 (1),number of observed (Time),0.010202884674072266
ocel,BPIC15 (1),number of objects,1269
ocel,BPIC15 (1),number of objects (Time),0.0
ocel,BPIC15 (1),number of df,207599
ocel,BPIC15 (1),number of df (Time),7.349713087081909
ocel,BPIC15 (1),number of corr,208868
ocel,BPIC15 (1),number of corr (Time),0.0
ocel,BPIC15 (1),filter on event time (Time),0.04552054405212402
ocel,BPIC15 (1),filter on object types (Time),0.02520275115966797
ocel,BPIC15 (1),filter on object types and time (Time),0.0170440673828125
ocel,BPIC15 (1),filter on objects (Time),0.012266159057617188
ocel,BPIC15 (1),filter on objects and time (Time),0.016006946563720703
ocel,BPIC15 (2),load (Time),1.5858078002929688
ocel,BPIC15 (2),number of logs,1
ocel,BPIC15 (2),number of logs (Time),0.0
ocel,BPIC15 (2),number of events,44354
ocel,BPIC15 (2),number of events (Time),0.0
ocel,BPIC15 (2),number of activities,304
ocel,BPIC15 (2),number of activities (Time),0.010532379150390625
ocel,BPIC15 (2),number of observed,44354
ocel,BPIC15 (2),number of observed (Time),0.008917808532714844
ocel,BPIC15 (2),number of objects,859
ocel,BPIC15 (2),number of objects (Time),0.0
ocel,BPIC15 (2),number of df,176557
ocel,BPIC15 (2),number of df (Time),6.329753875732422
ocel,BPIC15 (2),number of corr,177416
ocel,BPIC15 (2),number of corr (Time),0.0
ocel,BPIC15 (2),filter on event time (Time),0.0457766056060791
ocel,BPIC15 (2),filter on object types (Time),0.018805503845214844
ocel,BPIC15 (2),filter on object types and time (Time),0.018041372299194336
ocel,BPIC15 (2),filter on objects (Time),0.011139631271362305
ocel,BPIC15 (2),filter on objects and time (Time),0.015049219131469727
ocel,BPIC15 (3),load (Time),2.1882972717285156
ocel,BPIC15 (3),number of logs,1
ocel,BPIC15 (3),number of logs (Time),0.0
ocel,BPIC15 (3),number of events,59681
ocel,BPIC15 (3),number of events (Time),0.0
ocel,BPIC15 (3),number of activities,277
ocel,BPIC15 (3),number of activities (Time),0.005165815353393555
ocel,BPIC15 (3),number of observed,59681
ocel,BPIC15 (3),number of observed (Time),0.009805440902709961
ocel,BPIC15 (3),number of objects,1465
ocel,BPIC15 (3),number of objects (Time),0.0
ocel,BPIC15 (3),number of df,237259
ocel,BPIC15 (3),number of df (Time),8.672023057937622
ocel,BPIC15 (3),number of corr,238724
ocel,BPIC15 (3),number of corr (Time),0.0
ocel,BPIC15 (3),filter on event time (Time),0.0610809326171875
ocel,BPIC15 (3),filter on object types (Time),0.01624917984008789
ocel,BPIC15 (3),filter on object types and time (Time),0.0200040340423584
ocel,BPIC15 (3),filter on objects (Time),0.0031845569610595703
ocel,BPIC15 (3),filter on objects and time (Time),0.0156707763671875
ocel,BPIC15 (4),load (Time),1.6721508502960205
ocel,BPIC15 (4),number of logs,1
ocel,BPIC15 (4),number of logs (Time),0.0
ocel,BPIC15 (4),number of events,47293
ocel,BPIC15 (4),number of events (Time),0.0
ocel,BPIC15 (4),number of activities,272
ocel,BPIC15 (4),number of activities (Time),0.010554075241088867
ocel,BPIC15 (4),number of observed,47293
ocel,BPIC15 (4),number of observed (Time),0.0
ocel,BPIC15 (4),number of objects,1084
ocel,BPIC15 (4),number of objects (Time),0.0
ocel,BPIC15 (4),number of df,188088
ocel,BPIC15 (4),number of df (Time),6.7610344886779785
ocel,BPIC15 (4),number of corr,189172
ocel,BPIC15 (4),number of corr (Time),0.0
ocel,BPIC15 (4),filter on event time (Time),0.05091524124145508
ocel,BPIC15 (4),filter on object types (Time),0.014045953750610352
ocel,BPIC15 (4),filter on object types and time (Time),0.003147125244140625
ocel,BPIC15 (4),filter on objects (Time),0.015663623809814453
ocel,BPIC15 (4),filter on objects and time (Time),0.016097068786621094
ocel,BPIC15 (5),load (Time),2.1552138328552246
ocel,BPIC15 (5),number of logs,1
ocel,BPIC15 (5),number of logs (Time),0.0
ocel,BPIC15 (5),number of events,59083
ocel,BPIC15 (5),number of events (Time),0.0
ocel,BPIC15 (5),number of activities,285
ocel,BPIC15 (5),number of activities (Time),0.010209321975708008
